INSERT INTO coche (Id_coche,id_cliente,matricula,marca,color,transmision,marca_neumaticos)
VALUES
('1', '3149', 'CAU-683', 'Bentley', 'Plateado', 'automatico', 'Brigdestone'),
('660', '2620', 'EGX-881', 'Toyota', 'Borgoña', 'automatico', 'Pirelli'),
('661', '2394', 'TLP-766', 'Chrysler', 'Cian', 'estandar', 'Brigdestone'),
('662', '2787', 'STN-794', 'Jaguar', 'Cian', 'estandar', 'Pirelli'),
('663', '4489', 'YMU-320', 'Aston Martin', 'Borgoña', 'estandar', 'Pirelli'),
('664', '1481', 'RRT-642', 'Volkswagen', 'Plateado', 'automatico', 'Pirelli'),
('665', '2172', 'CDL-545', 'Porsche', 'Plateado', 'automatico', 'Brigdestone'),
('666', '5165', 'JEV-257', 'Maserati', 'Borgoña', 'automatico', 'Michelin'),
('667', '530', 'BKP-341', 'Dodge', 'Dorado', 'estandar', 'Brigdestone'),
('668', '3393', 'YGC-362', 'Jaguar', 'Plateado', 'estandar', 'Pirelli'),
('669', '4675', 'FOZ-946', 'Chevrolet', 'Borgoña', 'automatico', 'Pirelli'),
('670', '3543', 'RQU-133', 'Peugeot', 'Borgoña', 'automatico', 'Continental'),
('671', '3496', 'EQN-104', 'Alfa Romeo', 'Plateado', 'automatico', 'Brigdestone'),
('672', '3031', 'CMW-707', 'Ferrari', 'Dorado', 'estandar', 'Continental'),
('673', '4869', 'UYV-512', 'Hyundai', 'Plateado', 'automatico', 'Brigdestone'),
('674', '2602', 'WBY-423', 'SSC', 'Cian', 'estandar', 'Michelin'),
('675', '1285', 'FEO-035', 'Audi', 'Cian', 'estandar', 'Pirelli'),
('676', '1288', 'ZBR-270', 'Ford', 'Dorado', 'automatico', 'Continental'),
('677', '4432', 'NUW-641', 'Bentley', 'Dorado', 'automatico', 'Pirelli'),
('678', '965', 'ELR-209', 'Rimac', 'Borgoña', 'estandar', 'Brigdestone'),
('679', '2315', 'QSB-721', 'Tesla', 'Cian', 'automatico', 'Michelin'),
('680', '4809', 'BGQ-261', 'Honda', 'Borgoña', 'estandar', 'Dunlop'),
('681', '3713', 'DNZ-728', 'Toyota', 'Borgoña', 'automatico', 'Dunlop'),
('682', '2080', 'XST-163', 'Alfa Romeo', 'Borgoña', 'estandar', 'Michelin'),
('683', '1434', 'OMC-850', 'Rimac', 'Violeta', 'automatico', 'Continental'),
('684', '4648', 'QOQ-088', 'Hyundai', 'Plateado', 'estandar', 'Pirelli'),
('685', '3852', 'JTI-494', 'Subaru', 'Borgoña', 'estandar', 'Continental'),
('686', '525', 'PXD-858', 'Maserati', 'Dorado', 'estandar', 'Brigdestone'),
('687', '3952', 'PYM-423', 'Maserati', 'Violeta', 'estandar', 'Michelin'),
('688', '3468', 'AZR-307', 'Tesla', 'Plateado', 'automatico', 'Pirelli'),
('689', '140', 'EDZ-014', 'Bentley', 'Dorado', 'automatico', 'Continental'),
('690', '2064', 'FCE-075', 'Hyundai', 'Crema', 'automatico', 'Pirelli'),
('691', '1949', 'EZT-108', 'SSC', 'Cian', 'estandar', 'Dunlop'),
('692', '1091', 'ZYS-618', 'Alfa Romeo', 'Cian', 'automatico', 'Continental'),
('693', '5032', 'NKB-934', 'Audi', 'Dorado', 'automatico', 'Continental'),
('694', '794', 'UIY-316', 'Rimac', 'Plateado', 'estandar', 'Dunlop'),
('695', '1371', 'EPH-764', 'Lamborguini', 'Plateado', 'estandar', 'Dunlop'),
('696', '1648', 'DJY-411', 'Maserati', 'Cian', 'automatico', 'Brigdestone'),
('697', '4601', 'OHQ-314', 'Volkswagen', 'Crema', 'estandar', 'Dunlop'),
('698', '4974', 'YKY-104', 'Aston Martin', 'Borgoña', 'automatico', 'Brigdestone'),
('699', '2532', 'TVQ-141', 'Lamborguini', 'Dorado', 'estandar', 'Continental'),
('700', '4929', 'NIM-687', 'Mazda', 'Plateado', 'estandar', 'Continental'),
('701', '47', 'YBZ-685', 'Volkswagen', 'Violeta', 'automatico', 'Pirelli'),
('702', '3879', 'HZB-293', 'Jeep', 'Plateado', 'estandar', 'Continental'),
('703', '4003', 'NEC-914', 'Tesla', 'Plateado', 'automatico', 'Dunlop'),
('704', '820', 'SNY-042', 'Volkswagen', 'Dorado', 'estandar', 'Pirelli'),
('705', '3532', 'SFS-335', 'Mercedes-Benz', 'Plateado', 'automatico', 'Michelin'),
('706', '1529', 'PJK-173', 'Alfa Romeo', 'Violeta', 'estandar', 'Brigdestone'),
('707', '3621', 'CON-874', 'Toyota', 'Crema', 'automatico', 'Pirelli'),
('708', '196', 'YLY-960', 'Cadillac', 'Cian', 'estandar', 'Continental'),
('709', '793', 'RBU-442', 'Ford', 'Violeta', 'automatico', 'Pirelli'),
('710', '2866', 'FKC-733', 'Land Rover', 'Cian', 'estandar', 'Continental'),
('711', '1499', 'HCT-107', 'Chevrolet', 'Dorado', 'automatico', 'Dunlop'),
('712', '3482', 'BIM-192', 'Ferrari', 'Dorado', 'estandar', 'Michelin'),
('713', '4130', 'MEH-838', 'Toyota', 'Crema', 'automatico', 'Dunlop'),
('714', '1279', 'COM-945', 'Chrysler', 'Violeta', 'automatico', 'Michelin'),
('715', '290', 'LIJ-120', 'Maserati', 'Borgoña', 'automatico', 'Brigdestone'),
('716', '4234', 'OKG-884', 'Lamborguini', 'Violeta', 'estandar', 'Pirelli'),
('717', '1562', 'YWF-050', 'Toyota', 'Borgoña', 'estandar', 'Continental'),
('718', '4390', 'PGL-744', 'Lamborguini', 'Cian', 'estandar', 'Continental'),
('719', '4892', 'IOR-906', 'Jaguar', 'Plateado', 'automatico', 'Continental'),
('720', '1897', 'CIP-158', 'Aston Martin', 'Dorado', 'automatico', 'Michelin'),
('721', '1740', 'DWR-633', 'Maserati', 'Dorado', 'estandar', 'Continental'),
('722', '69', 'JJN-523', 'Mercedes-Benz', 'Borgoña', 'automatico', 'Dunlop'),
('723', '2637', 'LAA-166', 'Hyundai', 'Plateado', 'automatico', 'Brigdestone'),
('724', '464', 'POI-119', 'Alfa Romeo', 'Borgoña', 'estandar', 'Michelin'),
('725', '5149', 'QHK-566', 'Peugeot', 'Plateado', 'automatico', 'Michelin'),
('726', '5082', 'IWU-171', 'Bentley', 'Violeta', 'automatico', 'Brigdestone'),
('727', '835', 'LDN-777', 'Tesla', 'Violeta', 'estandar', 'Continental'),
('728', '4641', 'ANH-600', 'SSC', 'Violeta', 'estandar', 'Pirelli'),
('729', '3423', 'HKJ-928', 'Nissan', 'Dorado', 'estandar', 'Continental'),
('730', '2510', 'RWU-991', 'Koenigsegg', 'Borgoña', 'estandar', 'Pirelli'),
('731', '2347', 'SGM-532', 'Mazda', 'Borgoña', 'estandar', 'Dunlop'),
('732', '3043', 'QHD-136', 'Audi', 'Crema', 'automatico', 'Michelin'),
('733', '1069', 'KCX-462', 'Jeep', 'Violeta', 'estandar', 'Pirelli'),
('734', '2653', 'TUM-253', 'Aston Martin', 'Plateado', 'estandar', 'Pirelli'),
('735', '2057', 'XPN-403', 'Chrysler', 'Crema', 'automatico', 'Michelin'),
('736', '2656', 'COZ-433', 'Alfa Romeo', 'Plateado', 'estandar', 'Brigdestone'),
('737', '2480', 'JSL-999', 'Tesla', 'Cian', 'estandar', 'Brigdestone'),
('738', '1586', 'LFE-605', 'Maserati', 'Borgoña', 'automatico', 'Dunlop'),
('739', '2099', 'PTI-435', 'Koenigsegg', 'Cian', 'automatico', 'Pirelli'),
('740', '2385', 'TVD-930', 'Nissan', 'Violeta', 'automatico', 'Brigdestone'),
('741', '1763', 'TBA-724', 'Peugeot', 'Cian', 'automatico', 'Michelin'),
('742', '107', 'AQU-474', 'Mercedes-Benz', 'Crema', 'automatico', 'Michelin'),
('743', '498', 'NPO-944', 'Renault', 'Plateado', 'automatico', 'Brigdestone'),
('744', '227', 'LRD-141', 'Mazda', 'Plateado', 'estandar', 'Continental'),
('745', '3298', 'KGE-199', 'Lamborguini', 'Cian', 'estandar', 'Brigdestone'),
('746', '3283', 'HZT-029', 'BMW', 'Plateado', 'estandar', 'Brigdestone'),
('747', '2995', 'CNA-240', 'Mercedes-Benz', 'Borgoña', 'estandar', 'Michelin'),
('748', '1666', 'LSM-777', 'Honda', 'Crema', 'estandar', 'Brigdestone'),
('749', '1174', 'LIP-423', 'Mercedes-Benz', 'Plateado', 'estandar', 'Pirelli'),
('750', '3256', 'NJU-300', 'Ford', 'Plateado', 'estandar', 'Continental'),
('751', '1837', 'SDZ-099', 'SSC', 'Violeta', 'automatico', 'Michelin'),
('752', '3730', 'FCF-328', 'Jeep', 'Plateado', 'automatico', 'Continental'),
('753', '3374', 'IWJ-437', 'Jaguar', 'Borgoña', 'automatico', 'Pirelli'),
('754', '5063', 'RLF-788', 'Renault', 'Dorado', 'estandar', 'Continental'),
('755', '716', 'ZRD-328', 'Honda', 'Borgoña', 'automatico', 'Pirelli'),
('756', '2647', 'AGJ-248', 'Rimac', 'Violeta', 'automatico', 'Continental'),
('757', '726', 'NPN-614', 'Jeep', 'Cian', 'automatico', 'Pirelli'),
('758', '278', 'ZVB-823', 'Cadillac', 'Violeta', 'automatico', 'Brigdestone'),
('759', '363', 'KGY-933', 'Chrysler', 'Crema', 'automatico', 'Brigdestone'),
('760', '649', 'ZLM-118', 'SSC', 'Plateado', 'automatico', 'Pirelli'),
('761', '630', 'LJB-286', 'Rimac', 'Cian', 'estandar', 'Continental'),
('762', '3937', 'DXF-821', 'Renault', 'Violeta', 'automatico', 'Dunlop'),
('763', '3500', 'MNV-595', 'Kia', 'Dorado', 'automatico', 'Pirelli'),
('764', '2002', 'ORK-297', 'Honda', 'Dorado', 'automatico', 'Continental'),
('765', '1015', 'THF-149', 'Chevrolet', 'Dorado', 'estandar', 'Brigdestone'),
('766', '1077', 'KWH-745', 'Kia', 'Dorado', 'automatico', 'Dunlop'),
('767', '3424', 'LPD-366', 'Aston Martin', 'Plateado', 'automatico', 'Pirelli'),
('768', '548', 'ICO-299', 'Mercedes-Benz', 'Dorado', 'estandar', 'Pirelli'),
('769', '5123', 'YDR-886', 'Toyota', 'Violeta', 'estandar', 'Dunlop'),
('770', '5161', 'WKN-609', 'SSC', 'Plateado', 'estandar', 'Continental'),
('771', '1494', 'DIA-625', 'Peugeot', 'Cian', 'estandar', 'Michelin'),
('772', '4299', 'LQR-478', 'Toyota', 'Borgoña', 'automatico', 'Continental'),
('773', '85', 'XER-850', 'Land Rover', 'Violeta', 'estandar', 'Pirelli'),
('774', '1309', 'PUG-237', 'Chrysler', 'Dorado', 'automatico', 'Brigdestone'),
('775', '4027', 'MOB-586', 'Dodge', 'Crema', 'estandar', 'Brigdestone'),
('776', '4569', 'FLP-206', 'Mercedes-Benz', 'Dorado', 'automatico', 'Continental'),
('777', '3521', 'PBH-129', 'SSC', 'Violeta', 'automatico', 'Brigdestone'),
('778', '2164', 'HIU-887', 'Hyundai', 'Borgoña', 'automatico', 'Continental'),
('779', '4607', 'ZKY-005', 'Nissan', 'Cian', 'automatico', 'Pirelli'),
('780', '3464', 'UQH-636', 'Kia', 'Plateado', 'automatico', 'Dunlop'),
('781', '2711', 'FVZ-681', 'Lamborguini', 'Crema', 'automatico', 'Dunlop'),
('782', '3568', 'ZBO-310', 'Lamborguini', 'Borgoña', 'automatico', 'Pirelli'),
('783', '4098', 'ZGN-869', 'Porsche', 'Cian', 'estandar', 'Dunlop'),
('784', '2781', 'JTI-019', 'Dodge', 'Violeta', 'automatico', 'Pirelli'),
('785', '1113', 'TUQ-690', 'Land Rover', 'Cian', 'estandar', 'Pirelli'),
('786', '2115', 'QEU-472', 'Subaru', 'Cian', 'estandar', 'Dunlop'),
('787', '833', 'WMU-616', 'Audi', 'Cian', 'estandar', 'Pirelli'),
('788', '1545', 'ZRQ-560', 'SSC', 'Cian', 'estandar', 'Dunlop'),
('789', '43', 'ATK-198', 'Cadillac', 'Crema', 'estandar', 'Michelin'),
('790', '2905', 'UDU-729', 'Mercedes-Benz', 'Plateado', 'estandar', 'Dunlop'),
('791', '581', 'EQI-585', 'Peugeot', 'Violeta', 'automatico', 'Continental'),
('792', '4031', 'ZYB-945', 'Jeep', 'Violeta', 'automatico', 'Dunlop'),
('793', '1449', 'WII-064', 'Porsche', 'Borgoña', 'estandar', 'Continental'),
('794', '3348', 'ROK-096', 'Alfa Romeo', 'Borgoña', 'automatico', 'Pirelli'),
('795', '1112', 'CVD-774', 'Maserati', 'Borgoña', 'estandar', 'Continental'),
('796', '4121', 'FET-384', 'Nissan', 'Violeta', 'estandar', 'Continental'),
('797', '963', 'JTM-041', 'Cadillac', 'Borgoña', 'automatico', 'Continental'),
('798', '4127', 'NZF-167', 'Audi', 'Plateado', 'estandar', 'Pirelli'),
('799', '4906', 'XZP-939', 'Land Rover', 'Dorado', 'estandar', 'Continental'),
('800', '3814', 'ORI-955', 'Alfa Romeo', 'Crema', 'automatico', 'Pirelli'),
('801', '1532', 'XUO-376', 'Volkswagen', 'Dorado', 'estandar', 'Dunlop'),
('802', '3300', 'BGG-889', 'Aston Martin', 'Crema', 'automatico', 'Brigdestone'),
('803', '4235', 'UDZ-532', 'Ferrari', 'Borgoña', 'estandar', 'Continental'),
('804', '1501', 'VOY-468', 'Ferrari', 'Violeta', 'estandar', 'Michelin'),
('805', '2572', 'ZBM-348', 'Volkswagen', 'Dorado', 'automatico', 'Dunlop'),
('806', '2468', 'LNU-516', 'Mercedes-Benz', 'Crema', 'estandar', 'Brigdestone'),
('807', '4045', 'JST-980', 'Toyota', 'Violeta', 'automatico', 'Michelin'),
('808', '136', 'JXM-151', 'Nissan', 'Plateado', 'automatico', 'Brigdestone'),
('809', '4723', 'OOO-512', 'Mercedes-Benz', 'Cian', 'automatico', 'Continental'),
('810', '2003', 'ZKK-844', 'Kia', 'Violeta', 'estandar', 'Michelin'),
('811', '2041', 'BGI-082', 'Aston Martin', 'Crema', 'estandar', 'Michelin'),
('812', '2558', 'LCW-651', 'Toyota', 'Borgoña', 'estandar', 'Pirelli'),
('813', '3748', 'KKV-405', 'Cadillac', 'Plateado', 'automatico', 'Dunlop'),
('814', '4539', 'XTM-779', 'Chevrolet', 'Plateado', 'estandar', 'Pirelli'),
('815', '3245', 'EUQ-619', 'Bentley', 'Dorado', 'automatico', 'Pirelli'),
('816', '2267', 'BBB-942', 'Subaru', 'Borgoña', 'automatico', 'Brigdestone'),
('817', '4375', 'GHY-913', 'Koenigsegg', 'Dorado', 'automatico', 'Brigdestone'),
('818', '4710', 'QCP-078', 'Hyundai', 'Plateado', 'estandar', 'Dunlop'),
('819', '3832', 'ELC-987', 'Subaru', 'Plateado', 'automatico', 'Dunlop'),
('820', '1011', 'AEH-363', 'Chevrolet', 'Violeta', 'automatico', 'Brigdestone'),
('821', '2049', 'AIX-814', 'Volkswagen', 'Cian', 'estandar', 'Pirelli'),
('822', '174', 'EIM-030', 'Nissan', 'Dorado', 'estandar', 'Continental'),
('823', '1738', 'FWB-863', 'Dodge', 'Cian', 'automatico', 'Dunlop'),
('824', '3550', 'TXH-221', 'Bentley', 'Dorado', 'estandar', 'Brigdestone'),
('825', '3441', 'IEI-342', 'Volkswagen', 'Crema', 'automatico', 'Continental'),
('826', '1988', 'XMH-566', 'Koenigsegg', 'Plateado', 'automatico', 'Continental'),
('827', '4084', 'UAS-868', 'SSC', 'Violeta', 'automatico', 'Michelin'),
('828', '2792', 'AGE-229', 'Honda', 'Violeta', 'automatico', 'Brigdestone'),
('829', '3091', 'VQF-489', 'Subaru', 'Crema', 'estandar', 'Michelin'),
('830', '5115', 'VXL-851', 'Volkswagen', 'Crema', 'estandar', 'Michelin'),
('831', '946', 'CRQ-410', 'Alfa Romeo', 'Plateado', 'estandar', 'Continental'),
('832', '4364', 'ONB-686', 'Land Rover', 'Borgoña', 'automatico', 'Brigdestone'),
('833', '5117', 'OBW-121', 'Cadillac', 'Borgoña', 'estandar', 'Dunlop'),
('834', '4508', 'ISJ-467', 'Bentley', 'Violeta', 'estandar', 'Brigdestone'),
('835', '3373', 'TWY-910', 'Peugeot', 'Borgoña', 'estandar', 'Dunlop'),
('836', '4642', 'HKF-849', 'Renault', 'Crema', 'estandar', 'Michelin'),
('837', '470', 'NMZ-875', 'Cadillac', 'Plateado', 'estandar', 'Dunlop'),
('838', '1498', 'PXZ-398', 'Peugeot', 'Plateado', 'estandar', 'Pirelli'),
('839', '5051', 'ZSS-413', 'Hyundai', 'Violeta', 'automatico', 'Brigdestone'),
('840', '568', 'VAS-092', 'Chevrolet', 'Violeta', 'estandar', 'Pirelli'),
('841', '4347', 'RGO-952', 'Mazda', 'Borgoña', 'estandar', 'Pirelli'),
('842', '2467', 'XQR-570', 'Audi', 'Dorado', 'automatico', 'Pirelli'),
('843', '4996', 'GIG-966', 'Ferrari', 'Borgoña', 'estandar', 'Dunlop'),
('844', '187', 'JWF-441', 'Jaguar', 'Cian', 'automatico', 'Brigdestone'),
('845', '2317', 'TJY-170', 'Maserati', 'Plateado', 'estandar', 'Continental'),
('846', '4469', 'ZOG-389', 'Renault', 'Crema', 'estandar', 'Continental'),
('847', '4033', 'ZHK-981', 'Ford', 'Borgoña', 'estandar', 'Brigdestone'),
('848', '739', 'RNV-100', 'Chrysler', 'Dorado', 'automatico', 'Brigdestone'),
('849', '4659', 'LCN-083', 'Chevrolet', 'Plateado', 'estandar', 'Brigdestone'),
('850', '3317', 'DYG-707', 'Lamborguini', 'Plateado', 'automatico', 'Brigdestone'),
('851', '4583', 'WDJ-141', 'Koenigsegg', 'Plateado', 'estandar', 'Michelin'),
('852', '5073', 'URU-181', 'Maserati', 'Borgoña', 'automatico', 'Michelin'),
('853', '3005', 'ERY-494', 'Subaru', 'Borgoña', 'estandar', 'Michelin'),
('854', '745', 'VEE-848', 'Mazda', 'Borgoña', 'estandar', 'Brigdestone'),
('855', '4934', 'HUG-723', 'Chrysler', 'Cian', 'estandar', 'Michelin'),
('856', '2116', 'GTO-496', 'Tesla', 'Cian', 'automatico', 'Continental'),
('857', '4613', 'WEW-277', 'Porsche', 'Crema', 'automatico', 'Pirelli'),
('858', '813', 'QOQ-989', 'Mazda', 'Borgoña', 'estandar', 'Continental'),
('859', '169', 'ANC-231', 'Rimac', 'Crema', 'estandar', 'Dunlop'),
('860', '246', 'PKA-211', 'Porsche', 'Dorado', 'automatico', 'Pirelli'),
('861', '1035', 'SVO-102', 'Volkswagen', 'Plateado', 'estandar', 'Continental'),
('862', '2304', 'VQO-787', 'SSC', 'Cian', 'estandar', 'Brigdestone'),
('863', '4534', 'FNL-755', 'Tesla', 'Cian', 'estandar', 'Continental'),
('864', '1893', 'NDG-437', 'Nissan', 'Plateado', 'automatico', 'Michelin'),
('865', '3306', 'FAE-644', 'Jaguar', 'Dorado', 'automatico', 'Pirelli'),
('866', '1665', 'YZA-210', 'SSC', 'Crema', 'estandar', 'Pirelli'),
('867', '3604', 'ZVC-909', 'Audi', 'Crema', 'estandar', 'Brigdestone'),
('868', '4153', 'OSO-768', 'Tesla', 'Plateado', 'automatico', 'Pirelli'),
('869', '1774', 'ZSQ-683', 'Kia', 'Plateado', 'automatico', 'Michelin'),
('870', '4602', 'RFD-374', 'Alfa Romeo', 'Violeta', 'automatico', 'Dunlop'),
('871', '4351', 'GDZ-346', 'Lamborguini', 'Cian', 'automatico', 'Pirelli'),
('872', '1925', 'GMP-083', 'Volkswagen', 'Violeta', 'automatico', 'Continental'),
('873', '596', 'REU-144', 'Hyundai', 'Cian', 'automatico', 'Michelin'),
('874', '1262', 'QQF-439', 'Ford', 'Borgoña', 'automatico', 'Dunlop'),
('875', '578', 'NGV-128', 'Cadillac', 'Cian', 'automatico', 'Pirelli'),
('876', '3266', 'JRG-029', 'Peugeot', 'Plateado', 'automatico', 'Dunlop'),
('877', '3458', 'PPI-444', 'Mercedes-Benz', 'Borgoña', 'estandar', 'Michelin'),
('878', '4303', 'TGM-699', 'BMW', 'Crema', 'estandar', 'Continental'),
('879', '606', 'ZUB-187', 'Porsche', 'Borgoña', 'estandar', 'Pirelli'),
('880', '144', 'DZI-699', 'Ferrari', 'Dorado', 'automatico', 'Dunlop'),
('881', '746', 'OPA-749', 'Land Rover', 'Violeta', 'automatico', 'Dunlop'),
('882', '3004', 'MDG-164', 'Volkswagen', 'Borgoña', 'automatico', 'Continental'),
('883', '4259', 'FVD-313', 'Peugeot', 'Crema', 'estandar', 'Pirelli'),
('884', '3257', 'EGT-319', 'Land Rover', 'Violeta', 'automatico', 'Dunlop'),
('885', '4958', 'NUB-921', 'Tesla', 'Crema', 'automatico', 'Pirelli'),
('886', '1800', 'TXQ-784', 'Alfa Romeo', 'Borgoña', 'estandar', 'Pirelli'),
('887', '301', 'YHY-315', 'Hyundai', 'Borgoña', 'estandar', 'Michelin'),
('888', '4954', 'DMB-201', 'Mazda', 'Plateado', 'automatico', 'Brigdestone'),
('889', '2068', 'CUZ-519', 'Subaru', 'Crema', 'estandar', 'Michelin'),
('890', '56', 'BLD-985', 'Mazda', 'Cian', 'automatico', 'Pirelli'),
('891', '3566', 'FAG-247', 'Kia', 'Plateado', 'automatico', 'Continental'),
('892', '2849', 'SXC-039', 'Ferrari', 'Dorado', 'automatico', 'Continental'),
('893', '3507', 'DJA-218', 'Mazda', 'Plateado', 'automatico', 'Michelin'),
('894', '5088', 'SOO-612', 'Jeep', 'Borgoña', 'automatico', 'Brigdestone'),
('895', '1503', 'ZEF-669', 'Maserati', 'Cian', 'automatico', 'Brigdestone'),
('896', '1719', 'KCR-794', 'BMW', 'Plateado', 'estandar', 'Pirelli'),
('897', '3176', 'FLE-074', 'Volkswagen', 'Cian', 'automatico', 'Pirelli'),
('898', '2066', 'FWX-606', 'Chevrolet', 'Plateado', 'automatico', 'Michelin'),
('899', '2294', 'LXG-542', 'Ferrari', 'Dorado', 'automatico', 'Brigdestone'),
('900', '1341', 'CZT-809', 'Koenigsegg', 'Borgoña', 'automatico', 'Pirelli'),
('901', '4718', 'BEG-195', 'SSC', 'Cian', 'automatico', 'Brigdestone'),
('902', '2314', 'HOQ-138', 'Bentley', 'Violeta', 'automatico', 'Dunlop'),
('903', '3939', 'JKL-266', 'Aston Martin', 'Borgoña', 'automatico', 'Brigdestone'),
('904', '921', 'SST-776', 'Land Rover', 'Cian', 'automatico', 'Pirelli'),
('905', '1709', 'MEK-420', 'Ford', 'Crema', 'estandar', 'Dunlop'),
('906', '4667', 'BWB-340', 'BMW', 'Dorado', 'automatico', 'Continental'),
('907', '2878', 'ANO-664', 'Renault', 'Cian', 'estandar', 'Continental'),
('908', '356', 'RHJ-534', 'Lamborguini', 'Dorado', 'estandar', 'Pirelli'),
('909', '3818', 'GTN-629', 'Ford', 'Borgoña', 'estandar', 'Dunlop'),
('910', '3883', 'YDW-368', 'Porsche', 'Violeta', 'estandar', 'Brigdestone'),
('911', '999', 'ICX-077', 'Jaguar', 'Violeta', 'estandar', 'Brigdestone'),
('912', '9', 'LTZ-589', 'Ford', 'Cian', 'automatico', 'Continental'),
('913', '1638', 'EVH-298', 'Ford', 'Cian', 'automatico', 'Pirelli'),
('914', '3427', 'GNQ-914', 'Tesla', 'Dorado', 'automatico', 'Brigdestone'),
('915', '1178', 'JPD-812', 'Toyota', 'Borgoña', 'estandar', 'Dunlop'),
('916', '2970', 'RUM-381', 'Tesla', 'Crema', 'automatico', 'Michelin'),
('917', '2814', 'TBA-518', 'Hyundai', 'Violeta', 'automatico', 'Brigdestone'),
('918', '2611', 'ZPL-213', 'Jaguar', 'Crema', 'automatico', 'Brigdestone'),
('919', '2565', 'GAP-893', 'Jeep', 'Crema', 'automatico', 'Dunlop'),
('920', '4041', 'BBH-478', 'Aston Martin', 'Plateado', 'estandar', 'Dunlop'),
('921', '4085', 'GIS-726', 'Tesla', 'Crema', 'automatico', 'Brigdestone'),
('922', '44', 'AIY-445', 'Nissan', 'Dorado', 'estandar', 'Brigdestone'),
('923', '4975', 'SCO-606', 'Jeep', 'Cian', 'automatico', 'Continental'),
('924', '2663', 'KPO-099', 'Renault', 'Cian', 'estandar', 'Pirelli'),
('925', '4337', 'RRW-194', 'Aston Martin', 'Borgoña', 'automatico', 'Pirelli'),
('926', '4572', 'ISV-602', 'Mazda', 'Cian', 'estandar', 'Brigdestone'),
('927', '4256', 'UGL-498', 'Maserati', 'Crema', 'automatico', 'Continental'),
('928', '3640', 'ZRI-223', 'Subaru', 'Plateado', 'estandar', 'Brigdestone'),
('929', '2149', 'RYX-387', 'Subaru', 'Plateado', 'estandar', 'Brigdestone'),
('930', '261', 'OMT-954', 'Koenigsegg', 'Borgoña', 'automatico', 'Dunlop'),
('931', '1615', 'UIV-579', 'Renault', 'Borgoña', 'automatico', 'Dunlop'),
('932', '2778', 'BFV-932', 'Renault', 'Crema', 'estandar', 'Pirelli'),
('933', '2879', 'QCH-112', 'Chrysler', 'Cian', 'estandar', 'Brigdestone'),
('934', '588', 'FCS-419', 'Honda', 'Borgoña', 'estandar', 'Pirelli'),
('935', '3687', 'FMT-392', 'Bentley', 'Dorado', 'estandar', 'Brigdestone'),
('936', '4308', 'KAJ-170', 'Maserati', 'Cian', 'automatico', 'Brigdestone'),
('937', '865', 'RNV-097', 'Jeep', 'Borgoña', 'estandar', 'Brigdestone'),
('938', '1646', 'TMN-092', 'Renault', 'Plateado', 'automatico', 'Brigdestone'),
('939', '1304', 'MHB-237', 'Mazda', 'Borgoña', 'automatico', 'Pirelli'),
('940', '4521', 'QNI-551', 'Land Rover', 'Crema', 'estandar', 'Continental'),
('941', '3539', 'ZWC-152', 'BMW', 'Dorado', 'estandar', 'Dunlop'),
('942', '3252', 'EQX-030', 'Dodge', 'Borgoña', 'estandar', 'Dunlop'),
('943', '789', 'AAY-802', 'Lamborguini', 'Crema', 'estandar', 'Pirelli'),
('944', '2474', 'XQB-352', 'Honda', 'Dorado', 'estandar', 'Pirelli'),
('945', '3928', 'PWB-661', 'Lamborguini', 'Cian', 'estandar', 'Michelin'),
('946', '1601', 'MVV-629', 'Subaru', 'Crema', 'estandar', 'Pirelli'),
('947', '2662', 'VTG-886', 'Jaguar', 'Dorado', 'estandar', 'Michelin'),
('948', '2535', 'TIG-625', 'Hyundai', 'Cian', 'estandar', 'Pirelli'),
('949', '4448', 'RGU-458', 'Hyundai', 'Dorado', 'automatico', 'Continental'),
('950', '3277', 'RBJ-186', 'Ferrari', 'Violeta', 'automatico', 'Continental'),
('951', '3465', 'GWV-174', 'Rimac', 'Crema', 'automatico', 'Michelin'),
('952', '427', 'XFX-568', 'Hyundai', 'Borgoña', 'estandar', 'Brigdestone'),
('953', '3051', 'HVQ-072', 'Peugeot', 'Violeta', 'automatico', 'Michelin'),
('954', '2592', 'SUW-556', 'Alfa Romeo', 'Violeta', 'automatico', 'Continental'),
('955', '3190', 'DKM-395', 'Dodge', 'Cian', 'automatico', 'Michelin'),
('956', '4830', 'ABG-287', 'BMW', 'Dorado', 'automatico', 'Brigdestone'),
('957', '1374', 'UAY-472', 'Honda', 'Cian', 'estandar', 'Michelin'),
('958', '1369', 'RCM-759', 'Bentley', 'Cian', 'estandar', 'Brigdestone'),
('959', '4746', 'NEQ-689', 'Ford', 'Crema', 'estandar', 'Pirelli'),
('960', '2689', 'GSU-431', 'Subaru', 'Borgoña', 'estandar', 'Pirelli'),
('961', '4939', 'DFY-990', 'Tesla', 'Cian', 'automatico', 'Pirelli'),
('962', '4795', 'BVA-993', 'Chevrolet', 'Violeta', 'automatico', 'Dunlop'),
('963', '668', 'QEU-687', 'Renault', 'Dorado', 'automatico', 'Dunlop'),
('964', '2487', 'CXS-736', 'Mercedes-Benz', 'Dorado', 'estandar', 'Continental'),
('965', '4019', 'PHS-611', 'Rimac', 'Cian', 'automatico', 'Michelin'),
('966', '5150', 'JQP-526', 'Nissan', 'Crema', 'estandar', 'Brigdestone'),
